Title,Price,Reference Price,Reference Currency,Displayed Currency,Price Type,Location,Dealer,Image URL,Detail URL,Description,Power,Year
Fordson Major Dexta,,,,,inc-VAT,"United Kingdom
            , South West England",Farm Tractors,//d1grzqaobpv15j.cloudfront.net/none/220-160/1939794/45084838/45084838_1723198554_221.jpg?index,https://www.agriaffaires.co.uk/used/farm-tractor/45084838/fordson-major-dexta.html,,,
Fordson Major SUPER MAJOR,,,,,inc-VAT,"United Kingdom
            , South West England",Farm Tractors,//d1grzqaobpv15j.cloudfront.net/none/220-160/1939794/45081447/45081447_1723121331_477.jpg?index,https://www.agriaffaires.co.uk/used/farm-tractor/45081447/fordson-major-super-major.html,,,
Fordson Major SUPER MAJOR,"2,858",2858,EUR,€,inc-VAT,"United Kingdom
            , South West England",Farm Tractors,//d1grzqaobpv15j.cloudfront.net/none/220-160/1939794/45182593/45182593_1726232968_574.jpg?index,https://www.agriaffaires.co.uk/used/farm-tractor/45182593/fordson-major-super-major.html,,,
Fordson Major SUPER MAJOR,"5,144",5144,EUR,€,inc-VAT,"United Kingdom
            , Scotland",Farm Tractors,//d1grzqaobpv15j.cloudfront.net/none/220-160/1569156/45143746/45143746_1725357002_628.jpg?index,https://www.agriaffaires.co.uk/used/farm-tractor/45143746/fordson-major-super-major.html,,,
Fordson Major Dexta,,,,,inc-VAT,"United Kingdom
            , South West England              (Somerset)",Farm Tractors,//d1grzqaobpv15j.cloudfront.net/none/220-160/452897/42881320/42881320_1661322783_884.jpg?index,https://www.agriaffaires.co.uk/used/farm-tractor/42881320/fordson-major-dexta.html,,,
Fordson Major Major Billig diesel Traktor med frontlæsser,"1,676",1676,EUR,€,inc-VAT,Denmark,Farm Tractors,//d1grzqaobpv15j.cloudfront.net/none/220-160/202087/45008494/45008494_1720872333_600.jpg?index,https://www.agriaffaires.co.uk/used/farm-tractor/45008494/fordson-major-major-billig-diesel-traktor-med-frontl-sser.html,,,
Fordson Major  N model,"4,665",4665,EUR,€,inc-VAT,Denmark,Farm Tractors,//d1grzqaobpv15j.cloudfront.net/none/220-160/202087/44158741/44158741_1697772742_747.jpg?index,https://www.agriaffaires.co.uk/used/farm-tractor/44158741/fordson-major-n-model.html,,,
Fordson Major Major Diesel traktor,"2,654",2654,EUR,€,inc-VAT,Denmark,Farm Tractors,//d1grzqaobpv15j.cloudfront.net/none/220-160/202087/44158742/44158742_1697772746_37.jpg?index,https://www.agriaffaires.co.uk/used/farm-tractor/44158742/fordson-major-major-diesel-traktor.html,,,
Fordson Major Super Major Med trucktårn,"1,984",1984,EUR,€,inc-VAT,Denmark,Farm Tractors,//d1grzqaobpv15j.cloudfront.net/none/220-160/202087/44698339/44698339_1712747209_749.jpg?index,https://www.agriaffaires.co.uk/used/farm-tractor/44698339/fordson-major-super-major-med-truckt-rn.html,,"60
                                                                                                    hp",
Fordson Major SUPER MAJOR,"3,226",3226,EUR,€,inc-VAT,"USA
            , Wisconsin",Farm Tractors,//d1grzqaobpv15j.cloudfront.net/none/220-160/489905/44880229/44880229_1717800977_595.jpg?index,https://www.agriaffaires.co.uk/used/farm-tractor/44880229/fordson-major-super-major.html,,,
Fordson Major Major DDN,"1,800",1800,EUR,€,inc-VAT,"Italy
            , Veneto              (Verona)",Farm Tractors,//d1grzqaobpv15j.cloudfront.net/none/220-160/499784/44022682/44022682_1694274045_478.jpg?index,https://www.agriaffaires.co.uk/used/farm-tractor/44022682/fordson-major-major-ddn.html,,,
Fordson Major Major DDN,"1,800",1800,EUR,€,inc-VAT,"Italy
            , Veneto              (Verona)",Farm Tractors,//d1grzqaobpv15j.cloudfront.net/none/220-160/499784/43932368/43932368_1691422850_724.jpg?index,https://www.agriaffaires.co.uk/used/farm-tractor/43932368/fordson-major-major-ddn.html,,,
