Title,Price,Original Price,Price Excl. VAT,HP,Year,Working Hours,Dealer,Location,Image URL,Details,Detail URL,Description,Equipment,Specifications
McCormick X4.70,EUR 32.500,,, 101 hp/75 kW,2014,4050,Landbrukssalg AS,7080 H Trondheim – Tromsø,https://static.landwirt.com/9479-c280c04410ead2354297cef3877c74c3-4483344-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,4483344,McCormick-X470.html","== Mer informasjon (NO) ==

Specifications
40 km/h
3,425 kg
Clutchless reverse gear
Hauer XB 70 front loader
3. function loads
Snow shovel
Gravel drawer
Chain for all 4
3 double hydraulic outlets at the rear
Top brace included
Radio/DAB
Steps
front fenders and HUV are included
Description
McCormick X4.70 with front loader for sale
Delivery by agreement",,Type:: X4.70|hp:: 101 hp / 75 kW|Working hours:: 4050 h|Year of construction:: 2014
McCormick TTX 190,EUR 42.000,,"37.168,14 excl. VAT/ mediation", 190 hp/140 kW,2009,6000,,,https://static.landwirt.com/3592-c53ecaf084454ef7a234d9b372fb5a9e-4470195-0.jpg,"Three-point hitch (electronic hitch control), Front hydraulic equipment, Drive: All-wheel drive, 50 km/h, Pneumatic (air) brake, Air conditioner, Suspended front axle, Reverse motion without pressure, ...","https://www.landwirt.com/en/used-farm-machinery,4470195,McCormick-TTX-190.html",Klassifizierung: Gebrauchtmaschine; Tag der Erstzulassung: 10.02.2009; Getriebetyp: Teillastschaltgetriebe; Name des Getriebes: 1; Hydraulische Lenkung: Ja; Oberlenker hinten: Ja; Oberlenker hinten Typ: Hydraulisch; Kategorie Unterlenker hinten: Kat. 3; Steuergeräte doppeltwirkend hinten: Ja; Power Beyond Anschlüsse: Ja; Loadsensing: Ja; Außenbedienung Heckhydraulik: Ja; Außenbedienung Steuergerät: Ja; Anhängevorrichtung: Ja; Kugelkopfkupplung: Ja; Art von Kugelkopf: K80; Arbeitsscheinwerfer vorne: Ja; Art der Arbeitsscheinwerfer (vorne): Halogen; Arbeitsscheinwerfer hinten: Ja; Art der Arbeitsscheinwerfer (hinten): Halogen; Art der Klimatisierung: Manuell; Heckzapfwelle Drehzahl: 540/1000; Sitzfederung: Ja; Reifenhersteller: Continental; Letzter Tätigkeitsschwerpunkt: Allgemeine landwirtschaftliche Arbeit; Weitere Maschinenmerkmale: Privatverkauf,external operation PTO|Pneumatic (air) brake|Reverse motion without pressure|Three-point hitch (electronic hitch control)|Front hydraulic equipment|vehicle papers|Suspended front axle|Air conditioner|Air-suspended seat|radio|Platform: Cabin|hitch: automatic|emission stage: Tier3|Drive: All-wheel drive|bolt size hitch (mm): 38mm|Top speed in km/h: 50 km/h,Rear tire specifications: 650/65 R42|Front tire tread depth (%): 40|Rear tire tread depth (%): 40|Control units - DW (total): 4|count of work lights rear: 4|serial number/chassis number: 1|Working hours:: 6000 h|Year of construction:: 2009|Front tire specifications: 540/65 R30|number of cylinders: 6|count of work lights front: 6|Type:: TTX 190|hp:: 190 hp / 140 kW
McCormick International 724,,,, 65 hp/48 kW,1971,29912,,,https://static.landwirt.com/8454-d93c4c8353cff610bdc06a0b91fc0ceb-4483022-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,4483022,McCormick-International-724.html","== Mer information (SV) ==

Information om användning:Objektet har brukats fram till auktionsstartInformation från nuvarande ägare:Objektet fungerar, men har anmärkningarKända anmärkningar och fel:Svårstartad ibland, behöver då använda startgas för att starta.Kända reparationer och lagningar:Motorn renoverad för något år sedanService:Se kommentar om serviceKommentar om service:Kontinuerligt underhållen i egen regi
Fordonsstatus: Påställd
Kopplingsfri fram och bak",,hp:: 65 hp / 48 kW|Working hours:: 29912 h|Year of construction:: 1971|Type:: International 724
McCormick,EUR 2.500,,"2.212,39 excl. VAT/ mediation", 44 hp/33 kW,,6040,,,https://static.landwirt.com/3186-a6f00ac17bee291e292e7ab9472a1d09-4468472-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,4468472,McCormick-.html","McCormick International 
434 Diesel
Mit Frontlader
Motorschaden!",,hp:: 44 hp / 33 kW|Working hours:: 6040 h
McCormick X6.55,,,, 131 hp/97 kW,2021,477,,,https://static.landwirt.com/6428-1422340d800e19c245441807db91448f-4476600-0.jpg,"Drive: All-wheel drive, Three-point hitch (electronic hitch control), 40 km/h, Front loader, Air-suspended seat, Front loader console, PowerShuttle, PowerShift transmission, ...","https://www.landwirt.com/en/used-farm-machinery,4476600,McCormick-X655.html","Geschwindigkeit: 40, 
Motor-Zylinderanzahl: 4, 
Druckluftanlage (2-Kreis), 
Frontgewichte, 
Hydraulische Lenkung, 
Hubdach, 
Kabine, 
Radio, 
Rundumleuchte, 
Wendeschaltung, 
Diesel, 
Zugmaul - automatisch, 
höhenverstellbare Anhängevorrichtung, 
Dreipunkt-Außenbedienelement, 
Heckzapfwelle-Außenbedienung, 
Abgasnachbehandlung / AdBlue, 
3. Steuerkreis, 
Einhebelsteuergerät (mechanisch)
________",Three-point hitch (electronic hitch control)|Front loader console|Front loader|Air conditioner|Air-suspended seat|PowerShuttle|Drive: All-wheel drive|Top speed in km/h: 40 km/h|Transmission: PowerShift transmission,Front tire specifications: 480/65R24|Rear tire specifications: 600/65R34|Control units - DW (total): 3|Type:: X6.55|hp:: 131 hp / 97 kW|Working hours:: 477 h|Year of construction:: 2021
McCormick CX 95 XtraShift,,,,,2007,5262,,,https://static.landwirt.com/6428-6164ad653f89e21e0b8ccf1fc12f07a5-4474653-0.jpg,"Drive: All-wheel drive, Air-suspended seat, Air conditioner, PowerShuttle, Front loader, PowerShift transmission, Three-point hitch (electronic hitch control), Front loader console, ...","https://www.landwirt.com/en/used-farm-machinery,4474653,McCormick-CX-95-XtraShift.html","Frontladertyp: Trima, 
Motor-Zylinderanzahl: 4, 
Druckluftanlage (1-Kreis), 
Druckluftanlage (2-Kreis), 
Hydraulische Lenkung, 
Kabine, 
Rundumleuchte, 
Wendeschaltung, 
Diesel, 
Zugmaul - automatisch, 
höhenverstellbare Anhängevorrichtung, 
Dreipunkt-Außenbedienelement, 
Heckzapfwelle-Außenbedienung, 
3. Steuerkreis, 
Einhebelsteuergerät (mechanisch)
________",Three-point hitch (electronic hitch control)|Front loader console|Front loader|Air conditioner|Air-suspended seat|PowerShuttle|Drive: All-wheel drive|Transmission: PowerShift transmission,Control units - DW (total): 2|Type:: CX 95 XtraShift|Working hours:: 5262 h|Year of construction:: 2007|Front tire specifications: 340/85R24|Rear tire specifications: 460/85R34
McCormick X6.430VT,,,, 135 hp/100 kW,2019,2100,,,https://static.landwirt.com/6428-cf9288e33ada197b766152445c7ec58c-4474652-0.jpg,"Front PTO (power take-off), Front hydraulic equipment, Drive: All-wheel drive, 50 km/h, PTO shaft speed (rpm): 540/540E/1000/1000E, Suspended front axle, Air-suspended seat, Continuously variable transmission, ...","https://www.landwirt.com/en/used-farm-machinery,4474652,McCormick-X6430VT.html","Geschwindigkeit: 50, 
Frontladertyp: Alö Q5S, 
Motor-Zylinderanzahl: 4, 
Druckluftanlage (2-Kreis), 
Hydraulische Lenkung, 
Kabine, 
Kabinenfederung (mechanisch), 
Radio, 
Zentralschmierung, 
Diesel, 
Zugmaul - automatisch, 
Dreipunkt-Außenbedienelement, 
Heckzapfwelle-Außenbedienung, 
3. Steuerkreis
________",Front hydraulic equipment|Front loader|Front PTO (power take-off)|Suspended front axle|Air conditioner|Air-suspended seat|Drive: All-wheel drive|Top speed in km/h: 50 km/h|PTO shaft speed (rpm): 540/540E/1000/1000E|Transmission: Continuously variable transmission,Front tire specifications: 480/65R24|Rear tire specifications: 600/65R34|Control units - DW (total): 5|Type:: X6.430VT|hp:: 135 hp / 100 kW|Working hours:: 2100 h|Year of construction:: 2019
McCormick X2.055,,,, 49 hp/37 kW,,118,,,https://static.landwirt.com/6428-d6a81a113247bc0f836268334b0f6dce-4474648-0.jpg,"Air-suspended seat, PTO shaft speed (rpm): 540, Front hydraulic equipment, Synchronous transmission, Air conditioner, Drive: All-wheel drive, 30 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4474648,McCormick-X2055.html","Geschwindigkeit: 30, 
Gänge vorwärts: 16, 
Gänge rückwärts: 16, 
Kabine, 
Radio, 
Wendeschaltung, 
Diesel
________
Vorführschlepper mit Zulassung 118 Betriebsstunden.",Front hydraulic equipment|Air conditioner|Air-suspended seat|Drive: All-wheel drive|Top speed in km/h: 30 km/h|PTO shaft speed (rpm): 540|Transmission: Synchronous transmission,Type:: X2.055|hp:: 49 hp / 37 kW|Working hours:: 118 h|Front tire specifications: 280/70R16|Rear tire specifications: 360/70R24|Control units - DW (total): 3
McCormick X6.616,,,, 161 hp/119 kW,2024,1,,,https://static.landwirt.com/6428-618e63873a48e5b62c2781bf8703ddf7-4474640-0.jpg,"Air conditioner, PowerShuttle, Air-suspended seat, PowerShift transmission, Drive: All-wheel drive, ...","https://www.landwirt.com/en/used-farm-machinery,4474640,McCormick-X6616.html","Motor-Zylinderanzahl: 6, 
Druckluftanlage (2-Kreis), 
Frontgewichte, 
Hydraulische Lenkung, 
Hubdach, 
Kabine, 
Radio, 
Rundumleuchte, 
Wendeschaltung, 
Diesel, 
Ölrücklaufanschluss (drucklos), 
Dreipunkt-Außenbedienelement, 
Heckzapfwelle-Außenbedienung, 
Abgasnachbehandlung / AdBlue
________",Air conditioner|Air-suspended seat|PowerShuttle|Drive: All-wheel drive|Transmission: PowerShift transmission,hp:: 161 hp / 119 kW|Working hours:: 1 h|Year of construction:: 2024|Front tire specifications: 540/65R28|Rear tire specifications: 650/65R38|Control units - DW (total): 3|Type:: X6.616
McCormick X2.055,,,, 49 hp/37 kW,2024,1,,,https://static.landwirt.com/6428-466bee50249fa0c0ba3438464c5bf79b-4474639-0.jpg,"Synchronous transmission, Drive: All-wheel drive, 30 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4474639,McCormick-X2055.html","Geschwindigkeit: 30, 
Hydraulische Lenkung, 
Diesel, 
Überrollbügel
________",Drive: All-wheel drive|Top speed in km/h: 30 km/h|Transmission: Synchronous transmission,"Working hours:: 1 h|Year of construction:: 2024|Front tire specifications: 44x18-20|Rear tire specifications: 31x13,5-15|Control units - DW (total): 3|Type:: X2.055|hp:: 49 hp / 37 kW"
