Title,Price,Original Price,Price Excl. VAT,HP,Year,Working Hours,Dealer,Location,Image URL,Details,Detail URL,Description,Equipment: Transmission: Synchronous transmission,Equipment: bolt size hitch (mm): 32mm,Equipment: hitch: manually,Equipment: Reverse motion without pressure,Equipment: Air conditioner,Equipment: radio,Equipment: Top speed in km/h: 40 km/h,Equipment: Hydraulic brake valve,Equipment: emission stage: Tier3,Equipment: Front loader,Equipment: PowerShuttle,Equipment: Suspended tractor cabin (cab suspension),Equipment: Transmission: Continuously variable transmission,Equipment: Front PTO (power take-off),Equipment: Joystick: electric,Equipment: PTO shaft speed (rpm): 540E/1000,Equipment: Pneumatic (air) brake,Equipment: Platform: Cabin,Equipment: vehicle papers,Equipment: Drive: All-wheel drive,Equipment: PTO shaft speed (rpm): 540/540E/1000,Equipment: Three-point hitch (electronic hitch control),Equipment: Front loader console,Equipment: Top speed in km/h: 30 km/h,Equipment: external operation rear hydraulcs,Equipment: PTO shaft speed (rpm): 540/540E,Equipment: Supercharger: Turbocharger,Equipment: bolt size hitch (mm): 38mm,Equipment: Transmission: PowerShift transmission,Equipment: Creep speed,Equipment: top link rear: mechanically,Equipment: PTO shaft speed (rpm): 540/1000,Equipment: AdBlue,Equipment: Joystick: mechanically,Equipment: external operation PTO,Equipment: Air-suspended seat,Equipment: hitch: automatic,Equipment: 4-wheel brake,Equipment: Suspended front axle,Equipment: PTO shaft speed (rpm): 540,Equipment: ISOBUS,Equipment: emission stage: Tier5,Equipment: top link rear: hyraulic,Equipment: Exhaust brake,Equipment: Top speed in km/h: 50 km/h,Equipment: Front hydraulic equipment,Equipment: PTO shaft speed (rpm): 540/540E/1000/1000E,Equipment: Supercharger: Turbocharger with intercooler,Equipment: PTO shaft speed (rpm): 540/750,Equipment: ground drive p.t.o.,Spec: count of work lights rear,Spec: Working hours:,Spec: Front tire tread depth (%),Spec: Control units - DW (total),Spec: Front tire specifications,Spec: Rear tire tread depth (%),Spec: Maximum allowed weight (kg),Spec: Type:,Spec: Rear tire specifications,Spec: Control units – EW (total),Spec: count of previous owners,Spec: Payload/ carrying capacity (kg),Spec: Year of construction:,Spec: Condition state:,Spec: number of cylinders,Spec: serial number/chassis number,Spec: Control units – DW (electrical),Spec: Own weight (kg),Spec: hp:,Spec: count of work lights front
McCormick X4.70,EUR 32.500,,, 101 hp/75 kW,2014,4050,Landbrukssalg AS,7080 H Trondheim – Tromsø,https://static.landwirt.com/9479-c280c04410ead2354297cef3877c74c3-4483344-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,4483344,McCormick-X470.html","== Mer informasjon (NO) ==

Specifications
40 km/h
3,425 kg
Clutchless reverse gear
Hauer XB 70 front loader
3. function loads
Snow shovel
Gravel drawer
Chain for all 4
3 double hydraulic outlets at the rear
Top brace included
Radio/DAB
Steps
front fenders and HUV are included
Description
McCormick X4.70 with front loader for sale
Delivery by agreement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4050 h,,,X4.70,,,,,,2014,,,,,101 hp / 75 kW,,,,,
McCormick TTX 190,EUR 42.000,,"37.168,14 excl. VAT/ mediation", 190 hp/140 kW,2009,6000,,,https://static.landwirt.com/3592-c53ecaf084454ef7a234d9b372fb5a9e-4470195-0.jpg,"Three-point hitch (electronic hitch control), Front hydraulic equipment, Drive: All-wheel drive, 50 km/h, Pneumatic (air) brake, Air conditioner, Suspended front axle, Reverse motion without pressure, ...","https://www.landwirt.com/en/used-farm-machinery,4470195,McCormick-TTX-190.html",Klassifizierung: Gebrauchtmaschine; Tag der Erstzulassung: 10.02.2009; Getriebetyp: Teillastschaltgetriebe; Name des Getriebes: 1; Hydraulische Lenkung: Ja; Oberlenker hinten: Ja; Oberlenker hinten Typ: Hydraulisch; Kategorie Unterlenker hinten: Kat. 3; Steuergeräte doppeltwirkend hinten: Ja; Power Beyond Anschlüsse: Ja; Loadsensing: Ja; Außenbedienung Heckhydraulik: Ja; Außenbedienung Steuergerät: Ja; Anhängevorrichtung: Ja; Kugelkopfkupplung: Ja; Art von Kugelkopf: K80; Arbeitsscheinwerfer vorne: Ja; Art der Arbeitsscheinwerfer (vorne): Halogen; Arbeitsscheinwerfer hinten: Ja; Art der Arbeitsscheinwerfer (hinten): Halogen; Art der Klimatisierung: Manuell; Heckzapfwelle Drehzahl: 540/1000; Sitzfederung: Ja; Reifenhersteller: Continental; Letzter Tätigkeitsschwerpunkt: Allgemeine landwirtschaftliche Arbeit; Weitere Maschinenmerkmale: Privatverkauf,,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,Yes,Yes,Yes,Yes,,Yes,,,,,,Yes,,,,,6,6,1,,,190 hp / 140 kW,40,4,6000 h,650/65 R42,4,540/65 R30,40,,TTX 190,,,,,2009
McCormick International 724,,,, 65 hp/48 kW,1971,29912,,,https://static.landwirt.com/8454-d93c4c8353cff610bdc06a0b91fc0ceb-4483022-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,4483022,McCormick-International-724.html","== Mer information (SV) ==

Information om användning:Objektet har brukats fram till auktionsstartInformation från nuvarande ägare:Objektet fungerar, men har anmärkningarKända anmärkningar och fel:Svårstartad ibland, behöver då använda startgas för att starta.Kända reparationer och lagningar:Motorn renoverad för något år sedanService:Se kommentar om serviceKommentar om service:Kontinuerligt underhållen i egen regi
Fordonsstatus: Påställd
Kopplingsfri fram och bak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International 724,,,,,,1971,,,,,65 hp / 48 kW,,,,,,29912 h,,
McCormick,EUR 2.500,,"2.212,39 excl. VAT/ mediation", 44 hp/33 kW,,6040,,,https://static.landwirt.com/3186-a6f00ac17bee291e292e7ab9472a1d09-4468472-0.jpg,...,"https://www.landwirt.com/en/used-farm-machinery,4468472,McCormick-.html","McCormick International 
434 Diesel
Mit Frontlader
Motorschaden!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44 hp / 33 kW,,,,6040 h,,
McCormick X6.55,,,, 131 hp/97 kW,2021,477,,,https://static.landwirt.com/6428-1422340d800e19c245441807db91448f-4476600-0.jpg,"Drive: All-wheel drive, Three-point hitch (electronic hitch control), 40 km/h, Front loader, Air-suspended seat, Front loader console, PowerShuttle, PowerShift transmission, ...","https://www.landwirt.com/en/used-farm-machinery,4476600,McCormick-X655.html","Geschwindigkeit: 40, 
Motor-Zylinderanzahl: 4, 
Druckluftanlage (2-Kreis), 
Frontgewichte, 
Hydraulische Lenkung, 
Hubdach, 
Kabine, 
Radio, 
Rundumleuchte, 
Wendeschaltung, 
Diesel, 
Zugmaul - automatisch, 
höhenverstellbare Anhängevorrichtung, 
Dreipunkt-Außenbedienelement, 
Heckzapfwelle-Außenbedienung, 
Abgasnachbehandlung / AdBlue, 
3. Steuerkreis, 
Einhebelsteuergerät (mechanisch)
________",,Yes,Yes,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,Yes,Yes,,,,,,,,,Yes,477 h,,,X6.55,600/65R34,3,480/65R24,,,2021,,,,,131 hp / 97 kW,,,,,
McCormick CX 95 XtraShift,,,,,2007,5262,,,https://static.landwirt.com/6428-6164ad653f89e21e0b8ccf1fc12f07a5-4474653-0.jpg,"Drive: All-wheel drive, Air-suspended seat, Air conditioner, PowerShuttle, Front loader, PowerShift transmission, Three-point hitch (electronic hitch control), Front loader console, ...","https://www.landwirt.com/en/used-farm-machinery,4474653,McCormick-CX-95-XtraShift.html","Frontladertyp: Trima, 
Motor-Zylinderanzahl: 4, 
Druckluftanlage (1-Kreis), 
Druckluftanlage (2-Kreis), 
Hydraulische Lenkung, 
Kabine, 
Rundumleuchte, 
Wendeschaltung, 
Diesel, 
Zugmaul - automatisch, 
höhenverstellbare Anhängevorrichtung, 
Dreipunkt-Außenbedienelement, 
Heckzapfwelle-Außenbedienung, 
3. Steuerkreis, 
Einhebelsteuergerät (mechanisch)
________",Yes,Yes,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,Yes,,,,,,,,Yes,,,,,,,,,5262 h,,,,,CX 95 XtraShift,460/85R34,2,340/85R24,,2007,,,
McCormick X6.430VT,,,, 135 hp/100 kW,2019,2100,,,https://static.landwirt.com/6428-cf9288e33ada197b766152445c7ec58c-4474652-0.jpg,"Front PTO (power take-off), Front hydraulic equipment, Drive: All-wheel drive, 50 km/h, PTO shaft speed (rpm): 540/540E/1000/1000E, Suspended front axle, Air-suspended seat, Continuously variable transmission, ...","https://www.landwirt.com/en/used-farm-machinery,4474652,McCormick-X6430VT.html","Geschwindigkeit: 50, 
Frontladertyp: Alö Q5S, 
Motor-Zylinderanzahl: 4, 
Druckluftanlage (2-Kreis), 
Hydraulische Lenkung, 
Kabine, 
Kabinenfederung (mechanisch), 
Radio, 
Zentralschmierung, 
Diesel, 
Zugmaul - automatisch, 
Dreipunkt-Außenbedienelement, 
Heckzapfwelle-Außenbedienung, 
3. Steuerkreis
________",,Yes,Yes,Yes,,,,,,Yes,,,Yes,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,,,,,,,5,480/65R24,,,X6.430VT,600/65R34,,,,2019,,,,,,135 hp / 100 kW,,,2100 h,
McCormick X2.055,,,, 49 hp/37 kW,,118,,,https://static.landwirt.com/6428-d6a81a113247bc0f836268334b0f6dce-4474648-0.jpg,"Air-suspended seat, PTO shaft speed (rpm): 540, Front hydraulic equipment, Synchronous transmission, Air conditioner, Drive: All-wheel drive, 30 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4474648,McCormick-X2055.html","Geschwindigkeit: 30, 
Gänge vorwärts: 16, 
Gänge rückwärts: 16, 
Kabine, 
Radio, 
Wendeschaltung, 
Diesel
________
Vorführschlepper mit Zulassung 118 Betriebsstunden.",,,,,,,Yes,,,,,Yes,,,,Yes,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,Yes,,,,,,49 hp / 37 kW,,,,,,118 h,,,X2.055,360/70R24,3,280/70R16,,
McCormick X6.616,,,, 161 hp/119 kW,2024,1,,,https://static.landwirt.com/6428-618e63873a48e5b62c2781bf8703ddf7-4474640-0.jpg,"Air conditioner, PowerShuttle, Air-suspended seat, PowerShift transmission, Drive: All-wheel drive, ...","https://www.landwirt.com/en/used-farm-machinery,4474640,McCormick-X6616.html","Motor-Zylinderanzahl: 6, 
Druckluftanlage (2-Kreis), 
Frontgewichte, 
Hydraulische Lenkung, 
Hubdach, 
Kabine, 
Radio, 
Rundumleuchte, 
Wendeschaltung, 
Diesel, 
Ölrücklaufanschluss (drucklos), 
Dreipunkt-Außenbedienelement, 
Heckzapfwelle-Außenbedienung, 
Abgasnachbehandlung / AdBlue
________",,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,161 hp / 119 kW,,,,,,1 h,,,X6.616,650/65R38,3,540/65R28,,,2024,,,,
McCormick X2.055,,,, 49 hp/37 kW,2024,1,,,https://static.landwirt.com/6428-466bee50249fa0c0ba3438464c5bf79b-4474639-0.jpg,"Synchronous transmission, Drive: All-wheel drive, 30 km/h, ...","https://www.landwirt.com/en/used-farm-machinery,4474639,McCormick-X2055.html","Geschwindigkeit: 30, 
Hydraulische Lenkung, 
Diesel, 
Überrollbügel
________",,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,X2.055,"31x13,5-15",3,44x18-20,,,2024,,,,,49 hp / 37 kW,,,,,,1 h,,
