URL,Displayed Price
https://www.agriaffaires.co.uk/used/farm-tractor/45084838/fordson-major-dexta.html," "
https://www.agriaffaires.co.uk/used/farm-tractor/45081447/fordson-major-super-major.html," "
https://www.agriaffaires.co.uk/used/farm-tractor/45182593/fordson-major-super-major.html,"2,858 €"
https://www.agriaffaires.co.uk/used/farm-tractor/45143746/fordson-major-super-major.html,"5,144 €"
https://www.agriaffaires.co.uk/used/farm-tractor/42881320/fordson-major-dexta.html," "
https://www.agriaffaires.co.uk/used/farm-tractor/45008494/fordson-major-major-billig-diesel-traktor-med-frontl-sser.html,"1,676 €"
https://www.agriaffaires.co.uk/used/farm-tractor/44158741/fordson-major-n-model.html,"4,665 €"
https://www.agriaffaires.co.uk/used/farm-tractor/44158742/fordson-major-major-diesel-traktor.html,"2,654 €"
https://www.agriaffaires.co.uk/used/farm-tractor/44698339/fordson-major-super-major-med-truckt-rn.html,"1,984 €"
https://www.agriaffaires.co.uk/used/farm-tractor/44880229/fordson-major-super-major.html,"3,226 €"
https://www.agriaffaires.co.uk/used/farm-tractor/44022682/fordson-major-major-ddn.html,"1,800 €"
https://www.agriaffaires.co.uk/used/farm-tractor/43932368/fordson-major-major-ddn.html,"1,800 €"
