URL,Displayed Price,Category,Make,Model,Dealer,Location,Phone Number
https://www.agriaffaires.co.uk/used/farm-tractor/44880229/fordson-major-super-major.html," $ ex-VAT",Farm Tractors,Fordson Major,SUPER MAJOR,Lulich Implement Inc.,mark LULICH,318d6cf9034ee021b8c7398979b16ebMDAxNzE1NzQ2MjQ3Nw==
https://www.agriaffaires.co.uk/used/farm-tractor/45182593/fordson-major-super-major.html,"2,500 £ ex-VAT",Farm Tractors,Fordson Major,SUPER MAJOR,Graham Holland LTD,"Mr.
                Frank Holland",50c9d2da210b77e08eb6981e8c6bb12KCs0NCkgMDE5MzU4NDEzMDc=
https://www.agriaffaires.co.uk/used/farm-tractor/44158742/fordson-major-major-diesel-traktor.html," DKK ex-VAT",Farm Tractors,Fordson Major,Major Diesel traktor,Lintrup Maskinhandel,"Mr.
                Att: Frederik Møller Jensen Lintrup Maskinhandel",6d16f3c3d32ac59b1573ba4bb76e342KCs0NSkgNDA3ODUyOTY=
https://www.agriaffaires.co.uk/used/farm-tractor/45081447/fordson-major-super-major.html,"  ",Farm Tractors,Fordson Major,SUPER MAJOR,Graham Holland LTD,"Mr.
                Frank Holland",50c9d2da210b77e08eb6981e8c6bb12KCs0NCkgMDE5MzU4NDEzMDc=
https://www.agriaffaires.co.uk/used/farm-tractor/42881320/fordson-major-dexta.html,"  ",Farm Tractors,Fordson Major,Dexta,PARRIS TRACTORS,"Mr.
                Richard PARRIS",e6b399963846339270cfe4ebcf10be9MDE4MjMyNTM4MDg=
https://www.agriaffaires.co.uk/used/farm-tractor/45084838/fordson-major-dexta.html,"  ",Farm Tractors,Fordson Major,Dexta,Graham Holland LTD,"Mr.
                Frank Holland",50c9d2da210b77e08eb6981e8c6bb12KCs0NCkgMDE5MzU4NDEzMDc=
https://www.agriaffaires.co.uk/used/farm-tractor/44158741/fordson-major-n-model.html," DKK ex-VAT",Farm Tractors,Fordson Major,N model,Lintrup Maskinhandel,"Mr.
                Att: Frederik Møller Jensen Lintrup Maskinhandel",6d16f3c3d32ac59b1573ba4bb76e342KCs0NSkgNDA3ODUyOTY=
https://www.agriaffaires.co.uk/used/farm-tractor/44022682/fordson-major-major-ddn.html," € ex-VAT",Farm Tractors,Fordson Major,Major DDN,BA.GI. SRL,"Mr.
                GIANBATTISTA CAMPOSTRINI",b64d7299391f5262827eeef04d1b350KCszOSkgMzQ4NjYwMTgwMQ==
https://www.agriaffaires.co.uk/used/farm-tractor/43932368/fordson-major-major-ddn.html," € ex-VAT",Farm Tractors,Fordson Major,Major DDN,BA.GI. SRL,"Mr.
                GIANBATTISTA CAMPOSTRINI",b64d7299391f5262827eeef04d1b350KCszOSkgMzQ4NjYwMTgwMQ==
https://www.agriaffaires.co.uk/used/farm-tractor/45143746/fordson-major-super-major.html,"4,500 £ ex-VAT",Farm Tractors,Fordson Major,SUPER MAJOR,Mcphersonagri,"Mr.
                Stephen McPherson",5bd47d359dc984d21957d213f80683bKCs0NCkgMDEzODc3ODA2NTY=
https://www.agriaffaires.co.uk/used/farm-tractor/44698339/fordson-major-super-major-med-truckt-rn.html," DKK ex-VAT",Farm Tractors,Fordson Major,Super Major Med trucktårn,Lintrup Maskinhandel,"Mr.
                Att: Frederik Møller Jensen Lintrup Maskinhandel",6d16f3c3d32ac59b1573ba4bb76e342KCs0NSkgNDA3ODUyOTY=
https://www.agriaffaires.co.uk/used/farm-tractor/45008494/fordson-major-major-billig-diesel-traktor-med-frontl-sser.html," DKK ex-VAT",Farm Tractors,Fordson Major,Major Billig diesel Traktor med frontlæsser,Lintrup Maskinhandel,"Mr.
                Att: Frederik Møller Jensen Lintrup Maskinhandel",6d16f3c3d32ac59b1573ba4bb76e342KCs0NSkgNDA3ODUyOTY=
