URL,Category,Type of ad,Reference,Make,Model,Status,Power,Front Tire Dimension,Front Tire Wear,Rear Tire Wear,Spare Parts Availability,Price (excl. VAT),Displayed Price,Reference Price,Reference Currency,VAT Info,Dealer,Location,Phone Number,Comments
https://www.agriaffaires.co.uk/used/farm-tractor/44794013/fendt-724-s4-profi-plus.html,Farm Tractors,For sale / Offers,,Fendt,724 S4 PROFI PLUS,Used - very good condition,240,,N/A,N/A,N/A,,"65,000
                            
                                    65,000 ££ ",65000,GBP,,Redlynch Agricultural Engineering,"Mr.
                paul cooke",27e4dfec5259358ee33da566b951c89KCs0NCkgMDc4MTAyMDg5ODI=,
https://www.agriaffaires.co.uk/used/farm-tractor/45182593/fordson-major-super-major.html,Farm Tractors,For sale / Offers,18677,Fordson Major,SUPER MAJOR,Used - good condition,,,N/A,N/A,N/A,,"2,500
                            
                                    2,500 ££ ",2500,GBP,,Graham Holland LTD,"Mr.
                Frank Holland",50c9d2da210b77e08eb6981e8c6bb12KCs0NCkgMDE5MzU4NDEzMDc=,
https://www.agriaffaires.co.uk/used/farm-tractor/45219407/massey-ferguson-5610.html,Farm Tractors,For sale / Offers,150111048101,Massey Ferguson,5610,Used - Not indicated,0,,N/A,N/A,N/A,,"36,950
                            
                                    36,950 ££ ",36950,GBP,,Crickley Hill Tractors Ltd,"Mr.
                Ben GARLICK",f940ba183c34c3c772d9a60d09f11b7KCs0NCkgMTQ1Mjg2MjIzMg==,
https://www.agriaffaires.co.uk/used/farm-tractor/45219406/case-ih-maxxum-125.html,Farm Tractors,For sale / Offers,150108446868,Case IH,MAXXUM 125,Used - Not indicated,0,,N/A,N/A,N/A,,"47,950
                            
                                    47,950 ££ ",47950,GBP,,Crickley Hill Tractors Ltd,"Mr.
                Ben GARLICK",f940ba183c34c3c772d9a60d09f11b7KCs0NCkgMTQ1Mjg2MjIzMg==,
https://www.agriaffaires.co.uk/used/farm-tractor/45219327/john-deere-6215r.html,Farm Tractors,For sale / Offers,23430,John Deere,6215R,Used - very good condition,,,0% (Smooth tyre),N/A,N/A,,"75,000
                            
                                    75,000 ££ ",75000,GBP,,Oakfields Ag,"Mr.
                Terry Brock",40bd3e74ac338889e19a0057bee4f32KCs0NCkgMTc2Mzc4MDQ0MA==,
https://www.agriaffaires.co.uk/used/farm-tractor/44183342/fendt-716-profi.html,Farm Tractors,For sale / Offers,6015,Fendt,716 PROFI,Used - Not indicated,,,N/A,N/A,N/A,,"74,500
                            
                                    74,500 ££ ",74500,GBP,,LBG MACHINERY,"Mr.
                Sales Department",01bbe80974140e51d8254eeb76e2409KCs0NCkgMTc4NzIxMTcwMQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/43530808/john-deere-6155r.html,Farm Tractors,For sale / Offers,,John Deere,6155R,Used - very good condition,155,540/65/28,80%,80%,N/A,,"77,500
                            
                                    77,500 ££ ",77500,GBP,,HARRISON TRACTORS LTD,"Mr.
                James HARRISON",fe09520a7c01b1b6ced975610c70371KCs0NCkgNzc2ODE3MTA4NQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/44931596/john-deere-8rx410.html,Farm Tractors,For sale / Offers,91095761,John Deere,8RX410,Used - very good condition,410,,N/A,N/A,N/A,,"215,000
                            
                                    215,000 ££ ",215000,GBP,,BEN BURGESS & CO.,"Mr.
                Will Tunmore-Clarke",6518a50aaaa7ad93aeeeeba0d1523abKCs0NCkgMTYwMzYyODI1MQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45101498/massey-ferguson-8s-265.html,Farm Tractors,For sale / Offers,MF 8S.265,Massey Ferguson,8S.265,Used - very good condition,,,60%,60%,N/A,,"  ",,,,B&B Tractors,"Mrs
                Lauren Cope",2b7265eaf1cda18ab8f8919f723e85bKCs0NCkgNzQ4MzEyMjE5Nw==,
https://www.agriaffaires.co.uk/new/farm-tractor/44108975/new-holland-t4-55-powerstar-choice-of-with-and-without-pick-up-hitches.html,Farm Tractors,For sale / Offers,12016174,New Holland,"T4.55 POWERSTAR Choice of, with,and without Pick-Up Hitches",new,55,7.50/16,,,N/A,,"29,950
                            
                                    29,950 ££ ",29950,GBP,,F BUGLER Ltd,"United Kingdom, South West England",d3fc6753902358f87bfaf822267d4feKCs0NCkgMTkzNTg1MDQyNg==,
